CVE_ZM,NOM_ZM,CVE_MUN,NOM_MUN,CVE_ENT,NOM_ENT
09.01,Valle de México,15020,Coacalco de Berriozábal,09,Ciudad de México
09.01,Valle de México,15022,Cocotitlán,09,Ciudad de México
09.01,Valle de México,15023,Coyotepec,09,Ciudad de México
09.01,Valle de México,15024,Cuautitlán,09,Ciudad de México
09.01,Valle de México,15025,Chalco,09,Ciudad de México
09.01,Valle de México,15028,Chiautla,09,Ciudad de México
09.01,Valle de México,15029,Chicoloapan,09,Ciudad de México
09.01,Valle de México,15030,Chiconcuac,09,Ciudad de México
09.01,Valle de México,15031,Chimalhuacán,09,Ciudad de México
09.01,Valle de México,15033,Ecatepec de Morelos,09,Ciudad de México
09.01,Valle de México,15034,Ecatzingo,09,Ciudad de México
09.01,Valle de México,15035,Huehuetoca,09,Ciudad de México
09.01,Valle de México,15036,Hueypoxtla,09,Ciudad de México
09.01,Valle de México,15037,Huixquilucan,09,Ciudad de México
09.01,Valle de México,15038,Isidro Fabela,09,Ciudad de México
09.01,Valle de México,15039,Ixtapaluca,09,Ciudad de México
09.01,Valle de México,15044,Jaltenco,09,Ciudad de México
09.01,Valle de México,15046,Jilotzingo,09,Ciudad de México
09.01,Valle de México,15050,Juchitepec,09,Ciudad de México
09.01,Valle de México,15053,Melchor Ocampo,09,Ciudad de México
09.01,Valle de México,15057,Naucalpan de Juárez,09,Ciudad de México
09.01,Valle de México,15058,Nezahualcóyotl,09,Ciudad de México
09.01,Valle de México,15059,Nextlalpan,09,Ciudad de México
09.01,Valle de México,15060,Nicolás Romero,09,Ciudad de México
09.01,Valle de México,15061,Nopaltepec,09,Ciudad de México
09.01,Valle de México,15065,Otumba,09,Ciudad de México
09.01,Valle de México,15068,Ozumba,09,Ciudad de México
09.01,Valle de México,15069,Papalotla,09,Ciudad de México
09.01,Valle de México,15070,La Paz,09,Ciudad de México
09.01,Valle de México,15075,San Martín de las Pirámides,09,Ciudad de México
09.01,Valle de México,15081,Tecámac,09,Ciudad de México
09.01,Valle de México,15083,Temamatla,09,Ciudad de México
09.01,Valle de México,15084,Temascalapa,09,Ciudad de México
09.01,Valle de México,15089,Tenango del Aire,09,Ciudad de México
09.01,Valle de México,15091,Teoloyucan,09,Ciudad de México
09.01,Valle de México,15092,Teotihuacán,09,Ciudad de México
09.01,Valle de México,15093,Tepetlaoxtoc,09,Ciudad de México
09.01,Valle de México,15094,Tepetlixpa,09,Ciudad de México
09.01,Valle de México,15095,Tepotzotlán,09,Ciudad de México
09.01,Valle de México,15096,Tequixquiac,09,Ciudad de México
09.01,Valle de México,15099,Texcoco,09,Ciudad de México
09.01,Valle de México,15100,Tezoyuca,09,Ciudad de México
09.01,Valle de México,15103,Tlalmanalco,09,Ciudad de México
09.01,Valle de México,15104,Tlalnepantla de Baz,09,Ciudad de México
09.01,Valle de México,15108,Tultepec,09,Ciudad de México
09.01,Valle de México,15109,Tultitlán,09,Ciudad de México
09.01,Valle de México,15112,Villa del Carbón,09,Ciudad de México
09.01,Valle de México,15120,Zumpango,09,Ciudad de México
09.01,Valle de México,15121,Cuautitlán Izcalli,09,Ciudad de México
09.01,Valle de México,15122,Valle de Chalco Solidaridad,09,Ciudad de México
09.01,Valle de México,15125,Tonanitla,09,Ciudad de México
10.01,Durango,10005,Durango,10,Durango
11.03,León,11020,León,11,Guanajuato
11.03,León,11037,Silao de la Victoria,11,Guanajuato
12.01,Acapulco,12001,Acapulco de Juárez,12,Guerrero
12.01,Acapulco,12021,Coyuca de Benítez,12,Guerrero
13.01,Pachuca,13022,Epazoyucan,13,Hidalgo
13.01,Pachuca,13039,Mineral del Monte,13,Hidalgo
13.01,Pachuca,13048,Pachuca de Soto,13,Hidalgo
13.01,Pachuca,13051,Mineral de la Reforma,13,Hidalgo
13.01,Pachuca,13052,San Agustín Tlaxiaca,13,Hidalgo
13.01,Pachuca,13082,Zapotlán de Juárez,13,Hidalgo
13.01,Pachuca,13083,Zempoala,13,Hidalgo
14.01,Guadalajara,14002,Acatlán de Juárez,14,Jalisco
14.01,Guadalajara,14039,Guadalajara,14,Jalisco
14.01,Guadalajara,14044,Ixtlahuacán de los Membrillos,14,Jalisco
14.01,Guadalajara,14051,Juanacatlán,14,Jalisco
14.01,Guadalajara,14070,El Salto,14,Jalisco
14.01,Guadalajara,14097,Tlajomulco de Zú±iga,14,Jalisco
14.01,Guadalajara,14098,San Pedro Tlaquepaque,14,Jalisco
14.01,Guadalajara,14101,Tonalá,14,Jalisco
14.01,Guadalajara,14120,Zapopan,14,Jalisco
14.01,Guadalajara,14124,Zapotlanejo,14,Jalisco
15.02,Toluca,15005,Almoloya de Juárez,15,México
15.02,Toluca,15018,Calimaya,15,México
15.02,Toluca,15027,Chapultepec,15,México
15.02,Toluca,15051,Lerma,15,México
15.02,Toluca,15054,Metepec,15,México
15.02,Toluca,15055,Mexicaltzingo,15,México
15.02,Toluca,15062,Ocoyoacac,15,México
15.02,Toluca,15067,Otzolotepec,15,México
15.02,Toluca,15072,Rayón,15,México
15.02,Toluca,15073,San Antonio la Isla,15,México
15.02,Toluca,15076,San Mateo Atenco,15,México
15.02,Toluca,15087,Temoaya,15,México
15.02,Toluca,15090,Tenango del Valle,15,México
15.02,Toluca,15106,Toluca,15,México
15.02,Toluca,15115,Xonacatlán,15,México
15.02,Toluca,15118,Zinacantepec,15,México
16.02,Morelia,16022,Charo,16,Michoacán de Ocampo
16.02,Morelia,16053,Morelia,16,Michoacán de Ocampo
16.02,Morelia,16088,Tarímbaro,16,Michoacán de Ocampo
17.02,Cuernavaca,17007,Cuernavaca,17,Morelos
17.02,Cuernavaca,17008,Emiliano Zapata,17,Morelos
17.02,Cuernavaca,17009,Huitzilac,17,Morelos
17.02,Cuernavaca,17011,Jiutepec,17,Morelos
17.02,Cuernavaca,17018,Temixco,17,Morelos
17.02,Cuernavaca,17020,Tepoztlán,17,Morelos
17.02,Cuernavaca,17024,Tlaltizapán de Zapata,17,Morelos
17.02,Cuernavaca,17028,Xochitepec,17,Morelos
18.01,Tepic,18008,Xalisco,18,Nayarit
18.01,Tepic,18017,Tepic,18,Nayarit
19.01,Monterrey,19001,Abasolo,19,Nuevo León
19.01,Monterrey,19006,Apodaca,19,Nuevo León
19.01,Monterrey,19009,Cadereyta Jiménez,19,Nuevo León
19.01,Monterrey,19010,El Carmen,19,Nuevo León
19.01,Monterrey,19012,Ciénega de Flores,19,Nuevo León
19.01,Monterrey,19018,García,19,Nuevo León
19.01,Monterrey,19019,San Pedro Garza García,19,Nuevo León
19.01,Monterrey,19021,General Escobedo,19,Nuevo León
19.01,Monterrey,19025,General Zuazua,19,Nuevo León
19.01,Monterrey,19026,Guadalupe,19,Nuevo León
19.01,Monterrey,19031,Juárez,19,Nuevo León
19.01,Monterrey,19039,Monterrey,19,Nuevo León
19.01,Monterrey,19041,Pesquería,19,Nuevo León
19.01,Monterrey,19045,Salinas Victoria,19,Nuevo León
19.01,Monterrey,19046,San Nicolás de los Garza,19,Nuevo León
19.01,Monterrey,19047,Hidalgo,19,Nuevo León
19.01,Monterrey,19048,Santa Catarina,19,Nuevo León
19.01,Monterrey,19049,Santiago,19,Nuevo León
20.01,Oaxaca,20045,Magdalena Apasco,20,Oaxaca
20.01,Oaxaca,20063,Nazareno Etla,20,Oaxaca
20.01,Oaxaca,20067,Oaxaca de Juárez,20,Oaxaca
20.01,Oaxaca,20083,San Agustín de las Juntas,20,Oaxaca
20.01,Oaxaca,20087,San Agustín Yatareni,20,Oaxaca
20.01,Oaxaca,20091,San Andrés Huayápam,20,Oaxaca
20.01,Oaxaca,20107,San Antonio de la Cal,20,Oaxaca
20.01,Oaxaca,20115,San Bartolo Coyotepec,20,Oaxaca
20.01,Oaxaca,20157,San Jacinto Amilpas,20,Oaxaca
20.01,Oaxaca,20174,ánimas Trujano,20,Oaxaca
20.01,Oaxaca,20227,San Lorenzo Cacaotepec,20,Oaxaca
20.01,Oaxaca,20293,San Pablo Etla,20,Oaxaca
20.01,Oaxaca,20338,Villa de Etla,20,Oaxaca
20.01,Oaxaca,20350,San Sebastián Tutla,20,Oaxaca
20.01,Oaxaca,20375,Santa Cruz Amilpas,20,Oaxaca
20.01,Oaxaca,20385,Santa Cruz Xoxocotlán,20,Oaxaca
20.01,Oaxaca,20390,Santa Lucía del Camino,20,Oaxaca
20.01,Oaxaca,20399,Santa María Atzompa,20,Oaxaca
20.01,Oaxaca,20403,Santa María Coyotepec,20,Oaxaca
20.01,Oaxaca,20409,Santa María del Tule,20,Oaxaca
20.01,Oaxaca,20519,Santo Domingo Tomaltepec,20,Oaxaca
20.01,Oaxaca,20539,Soledad Etla,20,Oaxaca
