date,mean,median,lower_80,upper_80,infections,test_adjusted_positive,test_adjusted_positive_raw,positive,tests,zona_metropolitana,fecha_estimado
2020-02-26,1.6093635828263693,1.5903164482099887,1.3161285768099449,1.8495454487604972,6.9727858589670575,0.0,0.0,0.0,0.0,15.02,2020-08-05
2020-02-27,1.6075712608926087,1.5815107693112291,1.3273576844666999,1.8484029886161932,0.07902746993447642,0.7219027915775562,0.0,0.0,0.0,15.02,2020-08-05
2020-02-28,1.6073752336677682,1.585567453157604,1.2989192997989631,1.8135064713510272,1.1205285744360822,1.0025736370552947,0.0,0.0,0.0,15.02,2020-08-05
2020-02-29,1.604976713520498,1.5866975891516013,1.3179924394282125,1.8221948306878326,2.1293175611204997,1.1457529594709621,0.0,0.0,0.0,15.02,2020-08-05
2020-03-01,1.601622512814424,1.586561742178206,1.3138733757691106,1.7985296347725834,2.3202651111506376,1.315755830898083,0.0,0.0,0.0,15.02,2020-08-05
2020-03-02,1.5946430136961687,1.5876904695002432,1.2977294921525269,1.7606497826346104,2.3874245067789683,1.5023372471688603,0.0,0.0,0.0,15.02,2020-08-05
2020-03-03,1.5890893348483857,1.5773682688258956,1.3100270005706096,1.7763276980611058,2.595707223667596,1.684812001149476,0.0,0.0,0.0,15.02,2020-08-05
2020-03-04,1.585406002319838,1.5792275587544853,1.3639425430644454,1.812065208740436,2.8663014226227537,1.8682503801599544,0.0,0.0,0.0,15.02,2020-08-05
2020-03-05,1.5803350433869536,1.5756730839458963,1.4036396688954755,1.8301178862705534,3.1456692679206335,2.0615653449314526,0.0,0.0,0.0,15.02,2020-08-05
2020-03-06,1.5719792629469795,1.565892631487242,1.3432732792471043,1.7496329778229636,3.442132699694615,2.2689005424131854,0.0,0.0,0.0,15.02,2020-08-05
2020-03-07,1.5651152907233048,1.56212135581603,1.378702447006952,1.7626516099574916,3.7678781086055273,2.492516827766186,4.488210077410844,1.0,1.0,15.02,2020-08-05
2020-03-08,1.5569665051854693,1.5514753628534188,1.3316492337752193,1.7035528466582932,4.12422040834716,2.7348362878844115,0.0,0.0,1.0,15.02,2020-08-05
2020-03-09,1.5457669990434575,1.5358905073041784,1.3615458582696283,1.7304529199478604,4.511053304335117,2.998264951117583,0.0,0.0,3.0,15.02,2020-08-05
2020-03-10,1.5383688691145818,1.5237908139612988,1.3732057141610177,1.72782122139801,4.930066967719057,3.284946639713419,0.0,0.0,4.0,15.02,2020-08-05
2020-03-11,1.5282909471049848,1.5143260037318214,1.311432517278796,1.6707482138212206,5.382135606245308,3.5968574683845373,4.488210077410844,1.0,3.0,15.02,2020-08-05
2020-03-12,1.5181372184373843,1.5078378678759785,1.3334176874518668,1.6791738699914043,5.869414143986785,3.935785243110132,4.488210077410844,1.0,3.0,15.02,2020-08-05
2020-03-13,1.5095448648331862,1.5051575524652197,1.3600900327287702,1.6813381352310444,6.3941130701058535,4.30347068340532,13.464630232232532,3.0,10.0,15.02,2020-08-05
2020-03-14,1.500489422455417,1.491610789087507,1.309190385133108,1.6414484794067477,6.957513196153991,4.701685699495467,0.0,0.0,1.0,15.02,2020-08-05
2020-03-15,1.4913378231434697,1.4837005526807983,1.3096603385936145,1.6208516807689248,7.562079344816072,5.132170396836412,8.976420154821689,2.0,8.0,15.02,2020-08-05
2020-03-16,1.4813807852733227,1.4835439882284165,1.3331252112796397,1.6231873379438961,8.210485783069158,5.596728007503516,0.0,0.0,7.0,15.02,2020-08-05
2020-03-17,1.4720677886110838,1.4699971690962235,1.3072232183542356,1.5983069383612625,8.896701546576981,6.088375970397248,4.488210077410844,1.0,8.0,15.02,2020-08-05
2020-03-18,1.4634833409614811,1.4627423920630624,1.3148903706224029,1.5779591901215893,9.64002265876831,6.628589806504852,13.464630232232532,3.0,11.0,15.02,2020-08-05
2020-03-19,1.454250049705605,1.4487121947413324,1.2950395606462801,1.5655545990067454,10.429227815978052,7.206606822184958,4.488210077410844,1.0,8.0,15.02,2020-08-05
2020-03-20,1.447423908661776,1.4446474379709422,1.2963989255254194,1.5641856088118455,11.267383427335886,7.8250333226653135,17.952840309643378,4.0,12.0,15.02,2020-08-05
2020-03-21,1.4413874517146323,1.4384790148373108,1.2916158482044602,1.5391495572293608,12.158483474881976,8.487069757676522,4.488210077410844,1.0,7.0,15.02,2020-08-05
2020-03-22,1.43798199851606,1.433194325924105,1.3023604677860068,1.5558406062134518,13.106466037009763,9.194739124856968,17.952840309643378,4.0,23.0,15.02,2020-08-05
2020-03-23,1.4319301892230516,1.4257833162743998,1.294656535949175,1.5400377051052958,14.116176339943959,9.949964389119652,13.464630232232532,3.0,27.0,15.02,2020-08-05
2020-03-24,1.4293170891070601,1.4255530572943784,1.2869236722265556,1.5290420976822594,15.194065156835729,10.755253684183833,22.441050387054222,5.0,21.0,15.02,2020-08-05
2020-03-25,1.42675131175045,1.4234106390104089,1.3053243631140645,1.5411287375288154,16.34377288878293,11.613806668154819,8.976420154821689,2.0,32.0,15.02,2020-08-05
2020-03-26,1.42465896810676,1.4191298603285478,1.318760472961529,1.5594778167159877,17.570738784021415,12.52914625006108,8.976420154821689,2.0,33.0,15.02,2020-08-05
2020-03-27,1.422260640067971,1.4179956399043325,1.3034022091705921,1.535175086568154,18.882907786766253,13.505142233260708,17.952840309643378,4.0,32.0,15.02,2020-08-05
2020-03-28,1.4176723569580145,1.415879595338693,1.2976037946243715,1.5177062898048512,20.286778181121576,14.546265762107904,0.0,0.0,18.0,15.02,2020-08-05
2020-03-29,1.4156275959852431,1.412321628120834,1.3011081073096042,1.5181569854741164,21.787550125103937,15.65749279825383,13.464630232232532,3.0,21.0,15.02,2020-08-05
2020-03-30,1.41217152092986,1.4068267891967432,1.3056509346394976,1.513515835803975,23.387482634563185,16.844066958072425,17.952840309643378,4.0,32.0,15.02,2020-08-05
2020-03-31,1.4061712970747189,1.3986188688017134,1.2873049215351975,1.5048696285648988,25.093765834331087,18.11105738335201,8.976420154821689,2.0,15.0,15.02,2020-08-05
2020-04-01,1.396875279578336,1.3951955398834053,1.2873913991030788,1.506703486935897,26.913519654208372,19.463674665920507,22.37871413597907,5.0,36.0,15.02,2020-08-05
2020-04-02,1.3878115775163007,1.3853417767801974,1.2799770424256534,1.4972695774890459,28.84307056328489,20.907405114944318,8.976420154821689,2.0,16.0,15.02,2020-08-05
2020-04-03,1.373033764189343,1.3681537731712732,1.2668715043320469,1.4822385050991063,30.87133105728623,22.44692883320582,8.976420154821689,2.0,13.0,15.02,2020-08-05
2020-04-04,1.3581362382221531,1.3577393615231026,1.2486308749465138,1.4509284439245376,32.992457719350206,24.084912302749345,13.464630232232532,3.0,20.0,15.02,2020-08-05
2020-04-05,1.341185793004384,1.3388263589477423,1.235631556142378,1.4442300597413338,35.19237460628832,25.822186246354956,13.464630232232532,3.0,14.0,15.02,2020-08-05
2020-04-06,1.3245903523358153,1.3213726682437912,1.2148270595736932,1.4199574042581276,37.45257618086278,27.657186144351158,35.905680619286755,8.0,16.0,15.02,2020-08-05
2020-04-07,1.3049165639658824,1.3039908116495775,1.2006260128788333,1.396739271745624,39.75743892531547,29.58542888057456,17.952840309643378,4.0,13.0,15.02,2020-08-05
2020-04-08,1.2841886830715452,1.2794540000406343,1.189065253403469,1.3771613397664648,42.09303550144199,31.599921994633934,22.441050387054222,5.0,17.0,15.02,2020-08-05
2020-04-09,1.2622543404343216,1.2552541408462037,1.1732724628266082,1.3575311268907073,44.43574101965733,33.69174995059347,31.417470541875907,7.0,20.0,15.02,2020-08-05
2020-04-10,1.2388550146287343,1.2364431570083614,1.1437524777154506,1.325690173039207,46.75437235340511,35.84955512833476,58.346731006340974,13.0,21.0,15.02,2020-08-05
2020-04-11,1.217360607539665,1.216141049736437,1.1365562827294853,1.3067900197401578,49.020281217881625,38.05875079542049,33.92141932190511,8.0,38.0,15.02,2020-08-05
2020-04-12,1.1937781307886646,1.1897496956812978,1.0989974202499333,1.2750740622109615,51.20481377368681,40.30173666831479,40.393890696697596,9.0,28.0,15.02,2020-08-05
2020-04-13,1.174333112153826,1.1733146733562494,1.0906327250306376,1.2530634879261713,53.28925034502868,42.55831254888402,61.97182376117281,15.0,39.0,15.02,2020-08-05
2020-04-14,1.1540901621443582,1.150848026588442,1.0798876799831423,1.2394543077731954,55.24973845664523,44.80717295851743,62.834941083751815,14.0,27.0,15.02,2020-08-05
2020-04-15,1.1361005555531833,1.1345787087265373,1.0596742899848466,1.225177010673875,57.07667630988212,47.02619607546503,65.32165207258755,15.0,37.0,15.02,2020-08-05
2020-04-16,1.1182991746458502,1.116294707519146,1.0361382025549684,1.199795658539596,58.76442677087112,49.1941271774979,35.905680619286755,8.0,22.0,15.02,2020-08-05
2020-04-17,1.1007967988303822,1.0964209866098547,1.0203428709101887,1.1764485798676503,60.305659630660756,51.2917079687737,62.834941083751815,14.0,25.0,15.02,2020-08-05
2020-04-18,1.0854544238891726,1.0836855066259834,1.0055385304418265,1.1642185205342637,61.693873811992816,53.30182656909371,65.21796691056757,17.0,42.0,15.02,2020-08-05
2020-04-19,1.072786550395126,1.0708035545296166,0.9835428514074344,1.141021248738173,62.91783981962158,55.209449854890394,55.01888743674854,14.0,41.0,15.02,2020-08-05
2020-04-20,1.0632630696412313,1.0622987955040526,0.9868603927958213,1.1423166989265359,63.97888106316296,57.00087916780651,87.67190361507093,37.0,68.0,15.02,2020-08-05
2020-04-21,1.05359425231854,1.051164406784919,0.976896053470731,1.1284093513634,64.89652239563874,58.66456223466327,80.78778139339519,18.0,34.0,15.02,2020-08-05
2020-04-22,1.045227579318803,1.0428737976125708,0.9611690470697603,1.1138799167256053,65.69848147948197,60.193167714664625,44.96560235694399,12.0,43.0,15.02,2020-08-05
2020-04-23,1.0411485758753996,1.0403011496007846,0.9612085335457919,1.1096333354951355,66.39720286800812,61.584993137611605,44.882100774108444,10.0,26.0,15.02,2020-08-05
2020-04-24,1.0371739373296245,1.0347819620544394,0.9682026907996315,1.110575629843619,66.99689016918552,62.84245740352443,63.84267127094407,21.0,53.0,15.02,2020-08-05
2020-04-25,1.036467939120059,1.0346791654256233,0.9597405467765222,1.1089997649124992,67.52678824851297,63.97010969658862,93.9905993711121,28.0,48.0,15.02,2020-08-05
2020-04-26,1.037652947674838,1.0350303090423136,0.9653972153865313,1.1126386436826705,68.01397471510674,64.97606037371317,89.51485654391628,30.0,54.0,15.02,2020-08-05
2020-04-27,1.0416944593767838,1.0393790328402903,0.9614445378650497,1.1102134571334665,68.48128161889997,65.87208877953222,57.71704183130124,24.0,67.0,15.02,2020-08-05
