date,mean,median,lower_80,upper_80,infections,test_adjusted_positive,test_adjusted_positive_raw,positive,tests,zona_metropolitana,fecha_estimado
2020-02-28,1.5104354317424546,1.4895286295568009,1.2751026876216536,1.7468452355221733,4.30785417470001,0.0,0.0,0.0,0.0,20.01,2020-08-05
2020-02-29,1.5050220708276327,1.485638991511503,1.281304011641358,1.7297338326292289,0.04616528175122848,0.45627537099777715,0.0,0.0,0.0,20.01,2020-08-05
2020-03-01,1.5015409669469042,1.4802451171003876,1.2838060519451815,1.7388598173087817,0.6545447976300567,0.6333905039707244,0.0,0.0,0.0,20.01,2020-08-05
2020-03-02,1.4973680016237796,1.4898367265820704,1.2756632347069299,1.7244125562292785,1.2429604714591884,0.719783954810846,0.0,0.0,0.0,20.01,2020-08-05
2020-03-03,1.4926077044148145,1.4833258336508202,1.2291711809574428,1.6639111742667672,1.3470001216571588,0.8180311986729744,0.0,0.0,0.0,20.01,2020-08-05
2020-03-04,1.4880807542939112,1.4803015398393258,1.2542514340513176,1.677641123410449,1.367093688916112,0.9238021769477246,0.0,0.0,0.0,20.01,2020-08-05
2020-03-05,1.4800817765145755,1.4746455487292836,1.2758083182653903,1.672016738040479,1.4615153040942233,1.0245719642482234,0.0,0.0,0.0,20.01,2020-08-05
2020-03-06,1.4732066172188272,1.4635355395821539,1.2767926931145945,1.6621486235660528,1.589388870817131,1.1226760304854266,0.0,0.0,0.0,20.01,2020-08-05
2020-03-07,1.4635139688013186,1.4556051028889332,1.28039161154327,1.6539183686192154,1.719170704800226,1.2231243923308432,0.0,0.0,0.0,20.01,2020-08-05
2020-03-08,1.4547456547787234,1.4463441393474392,1.2499795146355772,1.6033147986205811,1.8529011271146656,1.3282671515026594,0.0,0.0,0.0,20.01,2020-08-05
2020-03-09,1.4474681286787154,1.4384759894363661,1.2737230212648036,1.624460049611676,1.9960785299712396,1.439132361062245,4.847830505937484,1.0,3.0,20.01,2020-08-05
2020-03-10,1.4379860875302573,1.4328808208036794,1.264964608368038,1.6001778328986012,2.149370255114992,1.5566098284617396,0.0,0.0,1.0,20.01,2020-08-05
2020-03-11,1.4262785375598717,1.42385758524656,1.2674934126643247,1.58882637216586,2.3123541421285116,1.6815146939402095,0.0,0.0,2.0,20.01,2020-08-05
2020-03-12,1.4151033486486122,1.4089414699508875,1.2673833099571772,1.5777250451883398,2.4850246422940487,1.8145012229169784,4.847830505937484,1.0,2.0,20.01,2020-08-05
2020-03-13,1.4057689561503666,1.40183497903553,1.2368389131853283,1.5472349285241829,2.6670077299470663,1.9560806614838737,0.0,0.0,2.0,20.01,2020-08-05
2020-03-14,1.3974842111159298,1.3903470458970204,1.2552235110234575,1.5534363740584851,2.858105002410956,2.10660566728279,0.0,0.0,1.0,20.01,2020-08-05
