date,mean,median,lower_80,upper_80,infections,test_adjusted_positive,test_adjusted_positive_raw,positive,tests,zona_metropolitana,fecha_estimado
2020-02-25,1.1250661830117672,1.1025254528137682,0.880244257706726,1.36028041274991,2.568858989948543,0.0,0.0,0.0,0.0,10.01,2020-11-04
2020-02-26,1.122841785461955,1.1063181927371042,0.8816097621595403,1.3411216003024773,0.019668971644636223,0.26975331478475684,0.0,0.0,0.0,10.01,2020-11-04
2020-02-27,1.1247781721252799,1.107222316453349,0.8751444203176124,1.331984738841493,0.278813464172757,0.3736396658559106,0.0,0.0,0.0,10.01,2020-11-04
2020-02-28,1.1252344688744718,1.1121736400089657,0.8577460372495062,1.3030600832264945,0.5279137373534613,0.4126955595565279,0.0,0.0,0.0,10.01,2020-11-04
2020-02-29,1.12581985024047,1.1160731675245192,0.8645941194450188,1.291980609999119,0.5591401581367679,0.4439356547035135,0.0,0.0,0.0,10.01,2020-11-04
2020-03-01,1.1267802594007963,1.1162144359038217,0.8994937834235708,1.3274836149579943,0.5353070886600807,0.4720986838046239,0.0,0.0,0.0,10.01,2020-11-04
2020-03-02,1.1271982899760948,1.1156232214187887,0.8825792265654949,1.292229525374155,0.5315730632690749,0.49355066489394067,0.0,0.0,0.0,10.01,2020-11-04
2020-03-03,1.129695163973907,1.1151813386398917,0.8739462867631735,1.2831834644092368,0.5404982837678528,0.5092659788524073,0.0,0.0,0.0,10.01,2020-11-04
2020-03-04,1.1314066018961315,1.116799225234233,0.9187840885616454,1.3219835708829402,0.5499742211281907,0.5216364480678575,0.0,0.0,0.0,10.01,2020-11-04
2020-03-05,1.1326062581443201,1.1190809288083505,0.9311599096116692,1.3227438410161194,0.5585317484847561,0.5321962371583395,0.0,0.0,0.0,10.01,2020-11-04
2020-03-06,1.1339784488373805,1.1267241261106868,0.9289937587032745,1.310575178186107,0.5675572650905369,0.5417479516388405,3.4567666620430737,1.0,2.0,10.01,2020-11-04
2020-03-07,1.1366207660682104,1.1289283613569543,0.950679940205309,1.3184712784225139,0.5775054394721554,0.5508134824860963,0.0,0.0,0.0,10.01,2020-11-04
2020-03-08,1.1384868724872785,1.1293141304250969,0.940992729133982,1.3098757906725276,0.588267512456002,0.5597810217504607,0.0,0.0,0.0,10.01,2020-11-04
2020-03-09,1.1406913751338172,1.1324319363612174,0.9702815368122291,1.3256912289709881,0.5998431528577364,0.5689267130614288,3.4567666620430737,1.0,2.0,10.01,2020-11-04
2020-03-10,1.1457796483153522,1.13680280589631,0.9648118473728432,1.3183584540940714,0.6122131214626557,0.5784463972727765,0.0,0.0,1.0,10.01,2020-11-04
2020-03-11,1.1484045827216118,1.1446169691850776,0.9751704939952758,1.3190887294383706,0.6254199795763651,0.5884766368425767,3.4567666620430737,1.0,4.0,10.01,2020-11-04
2020-03-12,1.1547114467895943,1.150582208150822,0.9731187772263957,1.2985790052458244,0.639665883387242,0.5991169816620564,0.0,0.0,2.0,10.01,2020-11-04
2020-03-13,1.1587302800566548,1.154852560958501,0.9818020449139617,1.3052185513800298,0.654921678443595,0.6104609423599973,0.0,0.0,3.0,10.01,2020-11-04
2020-03-14,1.1636035226307853,1.1599197981769156,1.0100279742469342,1.33086954277007,0.6712564315171339,0.622586947966777,0.0,0.0,3.0,10.01,2020-11-04
2020-03-15,1.1728688828660911,1.1706634929272495,1.0228618043522826,1.3387817681245022,0.6887904710578046,0.635565596666365,0.0,0.0,4.0,10.01,2020-11-04
2020-03-16,1.1807290454632235,1.1760590562770354,1.006365913563188,1.3228321542385768,0.7055664167815267,0.6461399249104803,0.0,0.0,3.0,10.01,2020-11-04
2020-03-17,1.1895611696229416,1.1836739154746174,1.0021682670897403,1.3201810080176886,0.726368866226233,0.6617715881791787,0.0,0.0,3.0,10.01,2020-11-04
2020-03-18,1.198582242195079,1.1903754053868503,1.0400065362625834,1.3569799326546392,0.7483671973248195,0.6778586039320917,6.913533324086147,2.0,6.0,10.01,2020-11-04
