date,mean,median,lower_80,upper_80,infections,test_adjusted_positive,test_adjusted_positive_raw,positive,tests,zona_metropolitana,fecha_estimado
2020-02-22,1.617686846895436,1.6055518876361807,1.3493383669901122,1.8420503677702316,3.869963245519249,0.0,0.0,0.0,0.0,30.07,2021-01-05
2020-02-23,1.612472704929388,1.600842864241322,1.3475684758314443,1.8421146466595022,0.04433305459917272,0.39742726605374845,0.0,0.0,0.0,30.07,2021-01-05
2020-02-24,1.6086097502608172,1.5964706676005318,1.3665191147084579,1.8362446365571214,0.6286000073482987,0.5519927337178309,0.0,0.0,0.0,30.07,2021-01-05
2020-02-25,1.6060683829799833,1.5919659517403275,1.3600067579862585,1.810902364148272,1.1945771901789974,0.6315228062414284,0.0,0.0,0.0,30.07,2021-01-05
2020-02-26,1.6033531974198334,1.5925624197980843,1.3680609686418739,1.7974944355825435,1.3021667531137324,0.7266882229168203,0.0,0.0,0.0,30.07,2021-01-05
2020-02-27,1.6022775856215958,1.5910635813468006,1.3793043981975617,1.7921031849128481,1.3411360175877616,0.8313971377764481,0.0,0.0,0.0,30.07,2021-01-05
2020-02-28,1.6002879368412137,1.5945475924435888,1.3734072424743229,1.7801109813703249,1.45999142131589,0.9340095927763493,0.0,0.0,0.0,30.07,2021-01-05
2020-02-29,1.5923602046077854,1.584200731252102,1.4014789999853905,1.8000192893787677,1.6148601701386474,1.0373428913235705,0.0,0.0,0.0,30.07,2021-01-05
2020-03-01,1.5850395402411916,1.5715646042221825,1.3864619024701261,1.788790974195055,1.7762235932982149,1.1464459810039007,0.0,0.0,0.0,30.07,2021-01-05
2020-03-02,1.5746018816314633,1.5664082007251214,1.3802828751477252,1.7600625274668171,1.9475542902956633,1.2638013347196473,0.0,0.0,0.0,30.07,2021-01-05
2020-03-03,1.5645537210843772,1.5584234716148968,1.3560744659422794,1.7267085439571912,2.134772092171507,1.3907440085046228,4.143238058934482,1.0,1.0,30.07,2021-01-05
2020-03-04,1.5532944137745393,1.544783591282355,1.3678361430500907,1.7231350749368375,2.3388868166999486,1.5285482851190024,0.0,0.0,3.0,30.07,2021-01-05
2020-03-05,1.5390855479544348,1.527204789760155,1.341657848277855,1.6871303721221735,2.559615390834025,1.678443491200832,0.0,0.0,1.0,30.07,2021-01-05
2020-03-06,1.5287228984868921,1.5230587946597596,1.3557688832922112,1.687472109262685,2.797344470040321,1.84148515284009,0.0,0.0,2.0,30.07,2021-01-05
2020-03-07,1.5181839504740018,1.5131023264268637,1.35106819899531,1.6695500563130588,3.0522622278790545,2.018578802167853,0.0,0.0,0.0,30.07,2021-01-05
2020-03-08,1.503430479529988,1.499538053375248,1.3342182280975725,1.6510045430785976,3.325453485324594,2.2104869845823565,0.0,0.0,2.0,30.07,2021-01-05
2020-03-09,1.492603152434248,1.4916686002139459,1.3413885773596987,1.642251488990182,3.6181737885528498,2.4179390641300977,0.0,0.0,4.0,30.07,2021-01-05
2020-03-10,1.4833576263368837,1.4754331839414412,1.3269615858975867,1.6148411805949856,3.9299225937057014,2.641704652646951,0.0,0.0,7.0,30.07,2021-01-05
2020-03-11,1.4745479723514299,1.4640004216120257,1.3224316043600324,1.5989628446619666,4.261294251553748,2.8824435098241485,0.0,0.0,4.0,30.07,2021-01-05
2020-03-12,1.46570309789904,1.462303464705685,1.3319790928356,1.6011834187774638,4.614638861442333,3.140756594308855,16.57295223573793,4.0,13.0,30.07,2021-01-05
2020-03-13,1.4551990887125064,1.4507780134093027,1.3307726916031988,1.5975208819061255,4.987059386085242,3.4124926225794887,0.0,0.0,3.0,30.07,2021-01-05
2020-03-14,1.447183756282857,1.4470479905556772,1.3021330509009363,1.5651794509774273,5.3893339957589985,3.709285385760779,16.57295223573793,4.0,11.0,30.07,2021-01-05
2020-03-15,1.442970623156187,1.4403425183048861,1.3034028657051502,1.558346333933899,5.814420507915951,4.025096648251532,8.286476117868965,2.0,9.0,30.07,2021-01-05
2020-03-16,1.4372931324192215,1.4299684077381065,1.3175870112947163,1.5665741690092094,6.264085126923443,4.361223431073384,8.286476117868965,2.0,18.0,30.07,2021-01-05
2020-03-17,1.4342552631094885,1.4244920883000067,1.3070727363255845,1.5653537238768762,6.743585924751127,4.71929836302694,8.286476117868965,2.0,14.0,30.07,2021-01-05
2020-03-18,1.43144965797542,1.4294687320060575,1.311517472106118,1.5713796994571623,7.255697111086846,5.100626113255777,8.286476117868965,2.0,10.0,30.07,2021-01-05
2020-03-19,1.4289683899345775,1.424834974851968,1.3082591570136908,1.555332082481238,7.802363934455382,5.506652723198354,4.143238058934482,1.0,15.0,30.07,2021-01-05
2020-03-20,1.4293024301819057,1.424358799641511,1.2961038219901362,1.5473682995552795,8.386875534078122,5.9391236747907294,8.286476117868965,2.0,11.0,30.07,2021-01-05
2020-03-21,1.4271011844613795,1.4239661643370112,1.2826425282486507,1.5359432784441418,9.012581146510712,6.400085221527624,4.143238058934482,1.0,14.0,30.07,2021-01-05
2020-03-22,1.4253643960765905,1.4218372147581382,1.3005577113042979,1.5444208139340279,9.684170731204023,6.891832394456378,0.0,0.0,20.0,30.07,2021-01-05
2020-03-23,1.4223806989690677,1.4197196286157738,1.3107238538696095,1.5455452937360523,10.404607446358204,7.4170212805317535,12.429714176803447,3.0,18.0,30.07,2021-01-05
2020-03-24,1.4228440362775665,1.4192437611830395,1.2969880774307538,1.5383666837338683,11.175974540957172,7.978517030376167,4.143238058934482,1.0,17.0,30.07,2021-01-05
2020-03-25,1.4218737496127722,1.4194179840028376,1.313907187404403,1.5541598362779296,12.00081672533061,8.57920604515927,0.0,0.0,13.0,30.07,2021-01-05
2020-03-26,1.4210793211634623,1.419350485884085,1.298983426378364,1.5360115062847433,12.885086511877862,9.221950428994681,4.143238058934482,1.0,14.0,30.07,2021-01-05
2020-03-27,1.4179813703077861,1.415745336306978,1.2960708528744367,1.5345150580927067,13.834293573880993,9.909920963189284,15.661439862772344,4.0,20.0,30.07,2021-01-05
2020-03-28,1.411687312162553,1.4099730674120656,1.2960369439442299,1.5328987647796588,14.852625613889595,10.646678985793205,8.286476117868965,2.0,17.0,30.07,2021-01-05
2020-03-29,1.40743878461992,1.405662545468941,1.2873518863066702,1.5144494513740179,15.941468392997118,11.436038302948019,8.242863085669654,2.0,19.0,30.07,2021-01-05
2020-03-30,1.3984722519607993,1.3915312342533825,1.2821368759506195,1.5078795128348803,17.097734933690315,12.281687167759275,4.143238058934482,1.0,16.0,30.07,2021-01-05
2020-03-31,1.389516291226991,1.3812139339604785,1.2819412107989587,1.5064064249496585,18.3226111774545,13.186558666480611,8.286476117868965,2.0,17.0,30.07,2021-01-05
2020-04-01,1.37953745413999,1.37697322080765,1.2621156171314334,1.4760740106085606,19.614580813772832,14.153046280261309,4.143238058934482,1.0,13.0,30.07,2021-01-05
2020-04-02,1.367547211234485,1.3631884046200686,1.26062688730246,1.4720391103938766,20.969446523788296,15.182897628182898,20.716190294672412,5.0,12.0,30.07,2021-01-05
2020-04-03,1.3537537064333154,1.3505490872275532,1.246964396724643,1.4570556745202847,22.38476220364775,16.276930968718787,8.286476117868965,2.0,11.0,30.07,2021-01-05
2020-04-04,1.340874903569956,1.3405292382598613,1.2387751296179874,1.447126403605965,23.854425542261698,17.435208666243575,12.429714176803447,3.0,17.0,30.07,2021-01-05
2020-04-05,1.3246747904402767,1.3224615703388725,1.2242360013340607,1.4164900016718742,25.369109184094004,18.65679736004915,15.661439862772344,4.0,20.0,30.07,2021-01-05
2020-04-06,1.309943904036424,1.309276801110193,1.2140206021643682,1.4005094253278736,26.923488762404297,19.939425207739365,21.92601580788128,7.0,25.0,30.07,2021-01-05
2020-04-07,1.2954669674179307,1.293852410728106,1.195854839681822,1.3815790554116614,28.50710169533899,21.27987246629153,27.237286717864944,8.0,23.0,30.07,2021-01-05
2020-04-08,1.2826345403430415,1.2820292939562066,1.1989823993707174,1.3826935386781287,30.109932565965938,22.673728824773427,39.15359965693086,11.0,22.0,30.07,2021-01-05
2020-04-09,1.2699315632258181,1.2690820710246884,1.1818613589737614,1.3687187557296765,31.72877549017179,24.115438965168348,31.322879725544688,8.0,20.0,30.07,2021-01-05
2020-04-10,1.2545908779987713,1.2530211289343505,1.1634279902941287,1.3443071632735033,33.36297516514538,25.59914266704062,17.02330419866559,5.0,23.0,30.07,2021-01-05
2020-04-11,1.2423038895821232,1.2408626236545672,1.1413551304390572,1.3254624269313433,35.00894813613533,27.119368239606136,34.04660839733118,10.0,23.0,30.07,2021-01-05
2020-04-12,1.231369024922626,1.2312790735783095,1.1273742077873719,1.2995837133623693,36.65292974858398,28.67102147841948,41.432380589344824,10.0,17.0,30.07,2021-01-05
2020-04-13,1.2216808140092592,1.217639762072169,1.1389341179360981,1.3101780792120625,38.288827302427514,30.248290212156093,45.67919959975267,21.0,36.0,30.07,2021-01-05
2020-04-14,1.2111354387599398,1.2113151173834482,1.1237544691721926,1.2913182473606517,39.92220728412932,31.844978406888696,20.77537940980005,13.0,49.0,30.07,2021-01-05
2020-04-15,1.199471628598806,1.1975850040382063,1.1124052194516452,1.277930723675003,41.55707141693409,33.45590669813296,33.560228277369305,15.0,35.0,30.07,2021-01-05
2020-04-16,1.187060220960874,1.1847359532937192,1.093227462918514,1.2669122247559488,43.18737602082089,35.07732100611856,41.45675257792679,18.0,34.0,30.07,2021-01-05
2020-04-17,1.175378989473446,1.1722467610449012,1.0999736618963594,1.2665748065457445,44.79763644733693,36.70590251370523,24.094522865803608,12.0,39.0,30.07,2021-01-05
2020-04-18,1.1636629605489304,1.1604604489302877,1.0744384532033495,1.2320566138774787,46.37171366168414,38.33727794559327,39.15359965693086,17.0,34.0,30.07,2021-01-05
2020-04-19,1.1526739916762807,1.1498526756922431,1.060135038141682,1.2158467788600094,47.901510241546085,39.965356042387015,21.16410792266533,10.0,37.0,30.07,2021-01-05
2020-04-20,1.1387611831008515,1.1372273851332162,1.0626263649038212,1.212553306641236,49.38238042853185,41.58301270836318,45.779593445026855,38.0,65.0,30.07,2021-01-05
2020-04-21,1.1292134935251763,1.1294724393531959,1.0476609071286278,1.201285750288281,50.8094070766687,43.18289199161536,37.89058031315889,15.0,31.0,30.07,2021-01-05
