date,mean,median,lower_80,upper_80,infections,test_adjusted_positive,test_adjusted_positive_raw,positive,tests,estado,fecha_estimado
2020-02-29,1.649825576138492,1.6267593599143924,1.3464514487173418,1.926938554069189,2.363300986637316,0.0,0.0,0.0,0.0,Nayarit,2020-07-12
2020-03-01,1.6471567254382484,1.6206184490320075,1.3585283043849963,1.9193000380096685,0.027139930610535174,0.2546132991828681,0.0,0.0,0.0,Nayarit,2020-07-12
2020-03-02,1.646372061745928,1.6210266762770382,1.3423218841950544,1.885544918581611,0.38482061809320794,0.35364344521631336,0.0,0.0,0.0,Nayarit,2020-07-12
2020-03-03,1.6373468871075403,1.6080604843974728,1.3466028398363257,1.8674861544369825,0.7313743080914835,0.404699590655136,0.0,0.0,0.0,Nayarit,2020-07-12
2020-03-04,1.6318191708095193,1.6083528756787753,1.34425851324841,1.857265757678242,0.797827763879054,0.46590821910619606,0.0,0.0,0.0,Nayarit,2020-07-12
2020-03-05,1.628216670913743,1.6026155376094908,1.3504335319020504,1.8457927410745232,0.8228426477022441,0.5333516250961176,0.0,0.0,0.0,Nayarit,2020-07-12
2020-03-06,1.6225692115170178,1.6008329692463055,1.3147452864747982,1.8045210574536859,0.8968801293095724,0.5996030929370083,0.0,0.0,0.0,Nayarit,2020-07-12
2020-03-07,1.6126794343722344,1.5917094093682937,1.3619595420367598,1.8503139033556157,0.9928654406186185,0.6664924762469926,0.0,0.0,0.0,Nayarit,2020-07-12
2020-03-08,1.607194533477337,1.5869597575218184,1.3412208610956378,1.8058619782852017,1.092750124305316,0.737243412035327,0.0,0.0,0.0,Nayarit,2020-07-12
2020-03-09,1.5989662310611654,1.5779994508780382,1.3427970355675214,1.776832184651886,1.1987457322572757,0.8134168652047953,0.0,0.0,0.0,Nayarit,2020-07-12
2020-03-10,1.5892491811599327,1.574704460489162,1.3541558922711525,1.7747147272709327,1.3148641129623821,0.8958429209143944,5.021381388789676,1.0,1.0,Nayarit,2020-07-12
2020-03-11,1.57750827815559,1.565691404276711,1.350115021754323,1.7653595064810539,1.4422377242359823,0.9853602214252671,0.0,0.0,1.0,Nayarit,2020-07-12
2020-03-12,1.569441332943244,1.5493389878160773,1.3234381044735275,1.7159658791657473,1.580767008242072,1.082854654127129,0.0,0.0,0.0,Nayarit,2020-07-12
2020-03-13,1.5600012327940649,1.5422934650544982,1.357743276560154,1.7380771809623137,1.7306399747569892,1.1891347455600163,0.0,0.0,1.0,Nayarit,2020-07-12
2020-03-14,1.5511527312042022,1.5347138596399814,1.340885400060424,1.7147727558926618,1.893005030445182,1.3049099780819575,0.0,0.0,2.0,Nayarit,2020-07-12
2020-03-15,1.5370682526250397,1.5212002742861828,1.3553134358510552,1.7155455215844901,2.068998757989904,1.4308946996094607,0.0,0.0,1.0,Nayarit,2020-07-12
2020-03-16,1.5219919674848983,1.5068863190511452,1.3393224147990828,1.6798341854808767,2.25920557615793,1.5678563333354638,0.0,0.0,1.0,Nayarit,2020-07-12
2020-03-17,1.5109524586271161,1.499062456819079,1.3445170212226882,1.6787119879881318,2.4633050447711273,1.7165728290746989,5.021381388789676,1.0,2.0,Nayarit,2020-07-12
2020-03-18,1.4950644584605792,1.4913099301724577,1.3424334778385343,1.6652175956557813,2.6809107834391557,1.8777132870425712,0.0,0.0,2.0,Nayarit,2020-07-12
2020-03-19,1.483611714576063,1.4774467034521692,1.3009564433362093,1.6267154999739755,2.912879625158624,2.051784988391981,5.021381388789676,1.0,4.0,Nayarit,2020-07-12
2020-03-20,1.4696978145081758,1.463098329562783,1.299259136513678,1.6206012316752483,3.15638059552408,2.2361167605163144,0.0,0.0,5.0,Nayarit,2020-07-12
2020-03-21,1.4544791499950858,1.445792410091269,1.2865408288719433,1.599610410845636,3.417900050347148,2.437973716013372,5.021381388789676,1.0,6.0,Nayarit,2020-07-12
2020-03-22,1.4421164293624036,1.4367250629220476,1.2824741812248304,1.5823447198739573,3.693632998913809,2.653223759852228,0.0,0.0,8.0,Nayarit,2020-07-12
2020-03-23,1.427730516912089,1.4241999401773269,1.2687185400945362,1.5538213747572613,3.983165968008997,2.882481287171279,0.0,0.0,13.0,Nayarit,2020-07-12
2020-03-24,1.409968424534575,1.4025888282296934,1.2761248023032474,1.558436146548609,4.287395068864827,3.1264598552067437,10.042762777579352,2.0,8.0,Nayarit,2020-07-12
2020-03-25,1.3977412316474291,1.3971597982003297,1.2456972466631553,1.5211243545985886,4.606142162692356,3.3853905029339004,0.0,0.0,9.0,Nayarit,2020-07-12
2020-03-26,1.3789678003602552,1.3730031413636887,1.2338835419649996,1.513151931385072,4.937276573719734,3.6593258092584717,0.0,0.0,9.0,Nayarit,2020-07-12
2020-03-27,1.3645388398616456,1.3604911992375932,1.2483038570986646,1.5181790274979554,5.2806363168568735,3.94811484426456,9.94233514980356,2.0,10.0,Nayarit,2020-07-12
2020-03-28,1.3494887205222823,1.3446448962893787,1.2127102871114384,1.4760868686522237,5.634555645446331,4.251507081039079,5.021381388789676,1.0,9.0,Nayarit,2020-07-12
2020-03-29,1.3343445272482395,1.3280745075077056,1.2158502279350254,1.467535578838702,5.9976972720426005,4.569033247817692,0.0,0.0,12.0,Nayarit,2020-07-12
2020-03-30,1.3180199199035407,1.3148942557922902,1.206845997697009,1.4456195916429284,6.369961218467954,4.900020739787682,0.0,0.0,9.0,Nayarit,2020-07-12
2020-03-31,1.30680704971134,1.3035954140593011,1.1777727026392646,1.4112462795491443,6.750124729208206,5.243760935681689,14.913502724705337,3.0,10.0,Nayarit,2020-07-12
2020-04-01,1.2924666536144525,1.2915125371289409,1.1671959979287545,1.3929182631026535,7.135939280727819,5.599471021223102,9.94233514980356,2.0,10.0,Nayarit,2020-07-12
2020-04-02,1.278025462131012,1.273016985736693,1.1580124982216498,1.381770815607529,7.528180160474504,5.966170022084195,13.557729749732124,3.0,11.0,Nayarit,2020-07-12
2020-04-03,1.265597929978492,1.2630773369563677,1.132750372177065,1.3546692303618821,7.925929863445287,6.342964481258221,10.042762777579352,2.0,7.0,Nayarit,2020-07-12
2020-04-04,1.2563260974380996,1.2529830392815238,1.141181896411141,1.363905948996487,8.325953807038765,6.728995837600923,10.042762777579352,2.0,5.0,Nayarit,2020-07-12
2020-04-05,1.2453850335482521,1.2388526404060234,1.1370074355081803,1.3512599444320341,8.727764889212942,7.123160681311082,14.203335928290798,4.0,14.0,Nayarit,2020-07-12
2020-04-06,1.2368742104220678,1.2320298232158944,1.1310039557739213,1.347511769319356,9.133324865366045,7.524298534787353,5.021381388789676,1.0,9.0,Nayarit,2020-07-12
2020-04-07,1.2277644617160968,1.2263607878684735,1.1183320729191943,1.3261475275766013,9.542417869464643,7.9315528225823995,5.021381388789676,1.0,7.0,Nayarit,2020-07-12
2020-04-08,1.220333005012985,1.2173795973854848,1.1122973634140887,1.3201930521560692,9.954652748859582,8.344275399995116,9.94233514980356,2.0,10.0,Nayarit,2020-07-12
2020-04-09,1.2131683681391678,1.2110031409835198,1.098212467843139,1.3063868730849006,10.369911113395524,8.761943962434593,5.021381388789676,1.0,8.0,Nayarit,2020-07-12
2020-04-10,1.2063552043891166,1.2073654487463261,1.1109106383246066,1.3064255268286558,10.78809318101253,9.184123828901697,8.772648661591376,3.0,17.0,Nayarit,2020-07-12
2020-04-11,1.198405954734138,1.201089323394529,1.0900976404873235,1.2925479797276853,11.20964309348645,9.610465372747672,5.021381388789676,1.0,6.0,Nayarit,2020-07-12
2020-04-12,1.1905107168686795,1.1912868905680085,1.0900942417924093,1.2857682739383356,11.634470261668705,10.040739309497624,5.021381388789676,1.0,6.0,Nayarit,2020-07-12
2020-04-13,1.1854037253159537,1.1838665767521035,1.0845938292072403,1.2859040498096261,12.060130505322865,10.474785246236907,14.913502724705337,3.0,10.0,Nayarit,2020-07-12
2020-04-14,1.1812828710760062,1.1796901393866266,1.073733394796282,1.281301788815133,12.484087219357285,10.912228775664083,16.57055858300593,4.0,12.0,Nayarit,2020-07-12
2020-04-15,1.1778912022796404,1.1759412235360411,1.0777506982275833,1.2815987110122093,12.90815715364599,11.352359724652485,7.101667964145399,2.0,14.0,Nayarit,2020-07-12
2020-04-16,1.1734090002038409,1.1705714167645116,1.074007658208984,1.2772049907211542,13.335949700266982,11.794574782084844,10.042762777579352,2.0,8.0,Nayarit,2020-07-12
2020-04-17,1.1675776344272633,1.1666062970141806,1.06551400155062,1.2629018889214583,13.769419708121484,12.238776731927505,22.094078110674573,8.0,18.0,Nayarit,2020-07-12
