date,mean,median,lower_80,upper_80,infections,test_adjusted_positive,test_adjusted_positive_raw,positive,tests,estado,fecha_estimado
2020-02-20,2.0442673462998484,2.0111377091213094,1.6648209535088576,2.402055600005976,3.2627039255897583,0.0,0.0,0.0,0.0,Quintana Roo,2021-02-24
2020-02-21,2.0431969524341627,2.0110207814696923,1.6299450447458443,2.3357231445629956,0.04643918735373711,0.3343207490539439,0.0,0.0,0.0,Quintana Roo,2021-02-24
2020-02-22,2.0373260871950936,1.9940620805659368,1.6796631117253678,2.337212143390661,0.6585985759066114,0.4652717701371607,0.0,0.0,0.0,Quintana Roo,2021-02-24
2020-02-23,2.0321777748507346,1.9974889253621368,1.668022358720739,2.309010386443927,1.2551711822106322,0.5457049692359153,0.0,0.0,0.0,Quintana Roo,2021-02-24
2020-02-24,2.0280652436486686,1.9935575613826413,1.7177009169226092,2.325563366363864,1.3985583732084286,0.6561818150017071,0.0,0.0,0.0,Quintana Roo,2021-02-24
2020-02-25,2.026381479824296,1.9976387210055966,1.7054846452999626,2.2958364520585217,1.516427445174171,0.7849902158953684,0.0,0.0,0.0,Quintana Roo,2021-02-24
2020-02-26,2.0246428523369393,1.9864436294476966,1.7147660007509362,2.2931309805453,1.7506459892324857,0.9214082475067387,0.0,0.0,0.0,Quintana Roo,2021-02-24
2020-02-27,2.022414975017741,1.9944047229267825,1.6970959565390926,2.2566716388780392,2.0399383516054614,1.0714731291962891,0.0,0.0,0.0,Quintana Roo,2021-02-24
2020-02-28,2.022413608207021,2.0002218153534805,1.6733638893809724,2.2295484324614807,2.3590997803088354,1.242406942923227,0.0,0.0,0.0,Quintana Roo,2021-02-24
2020-02-29,2.012697312878179,2.0017888821322947,1.7039971162717524,2.242191507961944,2.7242397649599583,1.4385699123973879,0.0,0.0,0.0,Quintana Roo,2021-02-24
2020-03-01,2.0050958705743613,1.9808876239601045,1.7464577530634233,2.270995630830728,3.150046307052883,1.664141689949724,3.5699077160815658,1.0,5.0,Quintana Roo,2021-02-24
2020-03-02,1.9982862026529224,1.9876423837669264,1.753714594714515,2.240901822222941,3.6429916191696705,1.9243146781103135,0.0,0.0,5.0,Quintana Roo,2021-02-24
2020-03-03,1.9919048752192503,1.9775835046831682,1.738696662956771,2.195079396946946,4.21077110310036,2.224904986340348,0.0,0.0,1.0,Quintana Roo,2021-02-24
2020-03-04,1.9810280229042434,1.9693260221252238,1.7406172731675937,2.1793195235420533,4.865399573762817,2.572218187713218,0.0,0.0,6.0,Quintana Roo,2021-02-24
2020-03-05,1.9668687651550687,1.9621267263514015,1.7639680994140932,2.1889814923046758,5.6205004375576735,2.973379759492052,0.0,0.0,12.0,Quintana Roo,2021-02-24
2020-03-06,1.9513254346196502,1.9457374832462633,1.6860105906184448,2.099538271744391,6.488658814688256,3.436575946990072,0.0,0.0,3.0,Quintana Roo,2021-02-24
2020-03-07,1.9300142767784334,1.9286036223719742,1.7273318329632392,2.117325823072775,7.481702303315287,3.970952614495278,0.0,0.0,4.0,Quintana Roo,2021-02-24
2020-03-08,1.9066930860067621,1.899025484489063,1.7003971430535059,2.0736975307787247,8.612757909522182,4.586389666751402,3.5699077160815658,1.0,10.0,Quintana Roo,2021-02-24
2020-03-09,1.8740763125782296,1.8721869616899092,1.6899555863386113,2.0465810984071062,9.893594455343695,5.293452115437055,3.5699077160815658,1.0,7.0,Quintana Roo,2021-02-24
