date,mean,median,lower_80,upper_80,infections,test_adjusted_positive,test_adjusted_positive_raw,positive,tests,estado,fecha_estimado
2020-02-25,1.294251461936148,1.2735200844000005,1.020840780442186,1.4999634786821618,4.779985216895035,0.0,0.0,0.0,0.0,Durango,2021-05-11
2020-02-26,1.292931238757128,1.2700422309681707,1.0290617767864263,1.4973059140059226,0.04275108599662258,0.488845278433398,0.0,0.0,0.0,Durango,2021-05-11
2020-02-27,1.2876361975508608,1.2627323328558175,1.0348360066419735,1.4896581318893913,0.6060638361905479,0.6777366573196836,0.0,0.0,0.0,Durango,2021-05-11
2020-02-28,1.2869424292209153,1.2662577749391564,1.027687476230298,1.4701139466353086,1.1489504031993758,0.7576753900393356,0.0,0.0,0.0,Durango,2021-05-11
2020-02-29,1.2863471632509613,1.2635801646128,1.016276596161781,1.4606439430906446,1.2286751672323901,0.834720103762274,0.0,0.0,0.0,Durango,2021-05-11
2020-03-01,1.286936593147654,1.2701137979401564,1.0428661029513644,1.4731376614956462,1.206352141588478,0.9116580952849876,0.0,0.0,0.0,Durango,2021-05-11
2020-03-02,1.2895263118722873,1.2754396905882368,1.0950251514189624,1.515315618491111,1.2381214073864428,0.9785844404312766,0.0,0.0,0.0,Durango,2021-05-11
2020-03-03,1.2871698115873278,1.27785836341243,1.0597494174260056,1.460596998410182,1.2983226649630237,1.0372037356285975,0.0,0.0,0.0,Durango,2021-05-11
2020-03-04,1.2855319860596413,1.2764678626633241,1.0695831130828426,1.4510314565871547,1.3594340569216739,1.0921361152311626,0.0,0.0,0.0,Durango,2021-05-11
2020-03-05,1.2828724828706604,1.276533064941387,1.0645231981742136,1.4398253624895916,1.420039183252468,1.146049646736418,0.0,0.0,0.0,Durango,2021-05-11
2020-03-06,1.2821029705774887,1.2752648613674524,1.0921668811654839,1.4664815914130396,1.4837095483797411,1.200237230894522,3.939560244633665,1.0,9.0,Durango,2021-05-11
2020-03-07,1.2828832380381001,1.2740563173056794,1.0853685617783793,1.4461849622610328,1.5513513071330651,1.2555793268932953,0.0,0.0,3.0,Durango,2021-05-11
2020-03-08,1.2835110203100017,1.2735050049235324,1.071112824033977,1.4264332581330998,1.622910149922661,1.3127733984027015,0.0,0.0,1.0,Durango,2021-05-11
2020-03-09,1.280559959762506,1.275020141923076,1.0824023181602325,1.4264520264124503,1.6988295595336986,1.3723573022778592,3.939560244633665,1.0,4.0,Durango,2021-05-11
2020-03-10,1.2815099479040355,1.2744703737338758,1.099569573816119,1.432795232143557,1.7793804778634605,1.434785273818652,0.0,0.0,5.0,Durango,2021-05-11
2020-03-11,1.2829907061235875,1.2774813641332858,1.126022879223553,1.4507817262114464,1.8641655470900342,1.5004546599926492,3.939560244633665,1.0,8.0,Durango,2021-05-11
2020-03-12,1.284554861899042,1.2762143057651711,1.1399902412047955,1.4468864248376256,1.9535273372086075,1.5696554601470654,0.0,0.0,3.0,Durango,2021-05-11
2020-03-13,1.283494764553001,1.277578531669909,1.1337564663634905,1.423759589334614,2.048297086939782,1.642632424582853,0.0,0.0,3.0,Durango,2021-05-11
2020-03-14,1.2850853869542613,1.2766342799840613,1.1463065609481706,1.437219557904223,2.148924795286091,1.7196696981492472,0.0,0.0,6.0,Durango,2021-05-11
