date,mean,median,lower_80,upper_80,infections,test_adjusted_positive,test_adjusted_positive_raw,positive,tests,estado,fecha_estimado
2020-02-24,1.7248298128121156,1.7080474978169438,1.456087607674627,1.9738208031834308,20.083533321349464,0.0,0.0,0.0,0.0,Puebla,2020-08-17
2020-02-25,1.7203624398954325,1.696483602971596,1.4233580348841264,1.9272414258949202,0.24547339218522138,2.0835960945807477,0.0,0.0,0.0,Puebla,2020-08-17
2020-02-26,1.7131594788093631,1.6869715110214332,1.4243508879473814,1.9123111736077738,3.48077061661343,2.8955360884442234,0.0,0.0,0.0,Puebla,2020-08-17
2020-02-27,1.7055379680150113,1.6901512850534486,1.43531466876377,1.913688731680233,6.6198179741555006,3.3357706226822663,0.0,0.0,0.0,Puebla,2020-08-17
2020-02-28,1.7008162672708746,1.683711282426414,1.4360629042516038,1.897997276323699,7.257798588713707,3.8869288489206393,0.0,0.0,0.0,Puebla,2020-08-17
2020-02-29,1.6922441831569848,1.682113798593304,1.4341864399352118,1.8858404202723993,7.576310052023709,4.504781372992511,0.0,0.0,0.0,Puebla,2020-08-17
2020-03-01,1.6842080107944737,1.6758657172084046,1.4321382327972862,1.8720534182879776,8.374965850809856,5.124454233673055,0.0,0.0,0.0,Puebla,2020-08-17
2020-03-02,1.6749561644114699,1.663407816957364,1.4120634134370407,1.8306023231650803,9.383292214926577,5.764458371299611,0.0,0.0,0.0,Puebla,2020-08-17
2020-03-03,1.6648408521882272,1.6576386832633376,1.448984926949204,1.8505743840041162,10.438776451593993,6.453773352232497,0.0,0.0,0.0,Puebla,2020-08-17
2020-03-04,1.6523584565216234,1.6390504076893209,1.446635872548442,1.837233028891458,11.576027737725102,7.206052381212895,0.0,0.0,0.0,Puebla,2020-08-17
2020-03-05,1.6367609935594887,1.6234578824894346,1.4616047814575557,1.8420905754851062,12.834624168697193,8.029696164317832,8.494038241482125,2.0,4.0,Puebla,2020-08-17
2020-03-06,1.620521020930257,1.6157573354138368,1.408258040107889,1.766704935397379,14.219383872920991,8.933942288315269,0.0,0.0,3.0,Puebla,2020-08-17
2020-03-07,1.603480504537729,1.5995607177952826,1.4061727273133795,1.7471599627785264,15.72702601025795,9.9280380522654,0.0,0.0,0.0,Puebla,2020-08-17
2020-03-08,1.5801449436314092,1.5727439539147836,1.4158312388507925,1.7348750480528756,17.36070791934769,11.019955540519863,8.494038241482125,2.0,6.0,Puebla,2020-08-17
2020-03-09,1.5617839657111128,1.5523873756749336,1.401049810375131,1.7121497210044903,19.125164711346155,12.216575051307595,21.23509560370531,5.0,15.0,Puebla,2020-08-17
2020-03-10,1.542407732385261,1.5324306693790604,1.3834825174408918,1.6806304091940714,21.014658948242893,13.524056593379008,12.741057362223186,3.0,14.0,Puebla,2020-08-17
2020-03-11,1.5239573412225942,1.5148838627537669,1.3765828700592837,1.6641284420667635,23.0295244281776,14.947003845622493,8.494038241482125,2.0,12.0,Puebla,2020-08-17
2020-03-12,1.5011882546113944,1.4950961164488215,1.3617104984388102,1.6203930932591346,25.175826025952908,16.48884882482039,12.741057362223186,3.0,14.0,Puebla,2020-08-17
2020-03-13,1.4806725775256764,1.4784161772316835,1.3487453083098233,1.5876983147855614,27.454234549617837,18.152755756822923,21.23509560370531,5.0,22.0,Puebla,2020-08-17
2020-03-14,1.4576534849428946,1.4559221800733768,1.3424815061299786,1.568529028315206,29.853972979016444,19.941519271758775,16.98807648296425,4.0,22.0,Puebla,2020-08-17
2020-03-15,1.437180076121313,1.4305945745121966,1.3279491820206255,1.5403714041615575,32.341083345476065,21.830641830922726,16.98807648296425,4.0,25.0,Puebla,2020-08-17
2020-03-16,1.4181308684537572,1.4132294030844021,1.3032104865518754,1.5153826062895044,34.96073086449689,23.875538871915836,50.964229448892745,12.0,29.0,Puebla,2020-08-17
2020-03-17,1.397457810739345,1.3919452813619593,1.2828776049733681,1.48934232305864,37.664673629018104,26.036874072595026,29.729133845187434,7.0,40.0,Puebla,2020-08-17
2020-03-18,1.377366199482955,1.3687464815154584,1.2826144417364223,1.4828750335750904,40.4535556095698,28.312739937321766,25.482114724446372,6.0,34.0,Puebla,2020-08-17
2020-03-19,1.3573189506703063,1.3539869480461444,1.2427061546642388,1.4422745891566426,43.32267055995468,30.70250533630528,12.741057362223186,3.0,24.0,Puebla,2020-08-17
2020-03-20,1.3386331621668,1.3353118035161016,1.244485937308413,1.441803345726183,46.25478276290111,33.200908224930764,42.47019120741062,10.0,36.0,Puebla,2020-08-17
2020-03-21,1.3195973406962502,1.3155284129766067,1.222826813823383,1.422685113179453,49.232469580625356,35.80008633274892,42.47019120741062,10.0,28.0,Puebla,2020-08-17
2020-03-22,1.2998659571350766,1.2921840235061581,1.1949483253722746,1.3940030263789023,52.24354154495522,38.490960488459265,42.47019120741062,10.0,35.0,Puebla,2020-08-17
2020-03-23,1.2859510118336428,1.282212216153649,1.185985177028189,1.377826725670592,55.27424394208378,41.26351177520684,59.45826769037487,14.0,45.0,Puebla,2020-08-17
2020-03-24,1.268566539439093,1.265483281747442,1.1788404995803474,1.367641369418156,58.30402995625721,44.10669235233454,29.729133845187434,7.0,37.0,Puebla,2020-08-17
2020-03-25,1.2528490666643113,1.2465373414653826,1.1643608525769087,1.348233475824397,61.338286715602905,47.007941867931564,16.98807648296425,4.0,29.0,Puebla,2020-08-17
2020-03-26,1.2390059699806693,1.2319330305826515,1.1382119329406122,1.3238202830244916,64.3682448921529,49.95584632008641,29.729133845187434,7.0,39.0,Puebla,2020-08-17
2020-03-27,1.2275123845711144,1.2236796546006645,1.1276309246611187,1.3077888061235317,67.37156889229634,52.93981048228875,67.952305931857,16.0,33.0,Puebla,2020-08-17
2020-03-28,1.2205166572525328,1.2175362124825524,1.1397340082154825,1.3235244061877751,70.34679650461959,55.948375872200565,110.4224971392676,26.0,52.0,Puebla,2020-08-17
2020-03-29,1.215829791313095,1.212260353643002,1.1226881937287239,1.3049282114220222,73.30737197291809,58.97067240160281,114.66951626000868,27.0,52.0,Puebla,2020-08-17
2020-03-30,1.2143905504876888,1.2112629271417656,1.126317162427825,1.2979025285874422,76.28410663246939,61.9986275886393,80.69336329408019,19.0,61.0,Puebla,2020-08-17
2020-03-31,1.212748378840271,1.2071094883443938,1.1205078839818496,1.29978453198452,79.31176650377834,65.02951590190675,38.22317208666956,9.0,43.0,Puebla,2020-08-17
2020-04-01,1.2109889983826088,1.2089591381706568,1.11456725731915,1.2935792819367264,82.42560288089378,68.06702770504987,72.19932505259806,17.0,57.0,Puebla,2020-08-17
2020-04-02,1.2134382279488938,1.2118553885017769,1.1221036866161094,1.2961169732760782,85.6449430666944,71.12117063027476,101.92845889778549,24.0,60.0,Puebla,2020-08-17
2020-04-03,1.2154472854980733,1.2160599076090755,1.1263630191359062,1.2968560295951053,88.97102552641127,74.20592810594238,84.94038241482124,20.0,58.0,Puebla,2020-08-17
2020-04-04,1.2178127922659625,1.2178611072421095,1.1156178997854904,1.3007467189373534,92.43750839021345,77.33587651180737,59.45826769037487,14.0,58.0,Puebla,2020-08-17
2020-04-05,1.2197493011047573,1.2162416878680156,1.1262644328752867,1.3010754595041156,96.07798945014837,80.52776431501283,50.964229448892745,12.0,44.0,Puebla,2020-08-17
2020-04-06,1.220740015113037,1.2178875858642435,1.141059593863604,1.309772816470941,99.90197080201156,83.80125658518944,80.69336329408019,19.0,56.0,Puebla,2020-08-17
2020-04-07,1.2211542738915873,1.2192323302587207,1.1337481725338099,1.305347031753742,103.91369863218266,87.17634310190768,33.9761529659285,8.0,49.0,Puebla,2020-08-17
2020-04-08,1.215998070768453,1.2138470407230384,1.1255071541849913,1.2914870600928932,108.11029785886262,90.67156253347198,42.47019120741062,10.0,50.0,Puebla,2020-08-17
2020-04-09,1.2114738834632182,1.2113653984351105,1.132437765450699,1.2965516107205588,112.48155596895442,94.30259025560981,63.70528681111593,15.0,49.0,Puebla,2020-08-17
2020-04-10,1.2053524119935084,1.202543595805281,1.1289970183679923,1.2955375355319445,116.97331884652964,98.08109628614241,89.1874015355623,21.0,56.0,Puebla,2020-08-17
2020-04-11,1.2009754174048493,1.1991241425543204,1.115000250107998,1.2868029233587053,121.53868613818669,102.010052088682,101.92845889778549,24.0,60.0,Puebla,2020-08-17
2020-04-12,1.1937224885413502,1.1939341487632888,1.0979578627942543,1.2724698967719996,126.15743421067205,106.08313518940987,84.94038241482124,20.0,61.0,Puebla,2020-08-17
2020-04-13,1.1856056095318537,1.1858278888139344,1.0900239823096303,1.2613752381772585,130.8322980695907,110.28819959838015,165.63374570890142,39.0,80.0,Puebla,2020-08-17
2020-04-14,1.1744819967545956,1.1750094924882526,1.0885193407729206,1.252462175859178,135.5447309154804,114.6118809889366,72.19932505259806,17.0,42.0,Puebla,2020-08-17
2020-04-15,1.1637578795740284,1.1660550754656414,1.082795963954662,1.2449770164640024,140.24428696830103,119.03973421288154,106.17547801852655,25.0,45.0,Puebla,2020-08-17
2020-04-16,1.1536585370093475,1.153726185253114,1.0729016062610923,1.2352690299488962,144.8600945283631,123.55306740385258,97.68143977704442,23.0,50.0,Puebla,2020-08-17
2020-04-17,1.1421441091547206,1.1429671764650067,1.0543812538824935,1.2123642520032532,149.34143067241052,128.12569427580584,152.89268834667823,36.0,71.0,Puebla,2020-08-17
2020-04-18,1.1279452324246622,1.1264761145024667,1.039373902706892,1.2067186772448897,153.67613013792763,132.72525149363778,161.38672658816037,38.0,69.0,Puebla,2020-08-17
2020-04-19,1.117016054532246,1.114341696783478,1.0346359942616716,1.1967082223541199,157.83193174277125,137.3184740011185,140.15163098445504,33.0,62.0,Puebla,2020-08-17
2020-04-20,1.1055789875869737,1.1025563503536289,1.0243513170161536,1.1759604512001451,161.7345146157932,141.87173122455584,186.43976103030508,47.0,97.0,Puebla,2020-08-17
2020-04-21,1.0977551468057873,1.0980802701882646,1.0186397604286583,1.1726050492958777,165.36881578625895,146.3469198746894,182.62182219186568,43.0,80.0,Puebla,2020-08-17
2020-04-22,1.0846558414182619,1.0835748622394765,1.0112772730053183,1.1621147732735946,168.75006074181144,150.70611112725095,110.4224971392676,26.0,58.0,Puebla,2020-08-17
2020-04-23,1.0757312179038443,1.074259208305818,0.9956090719885249,1.1463775419250748,171.90591559847167,154.91694029361454,152.89268834667823,36.0,70.0,Puebla,2020-08-17
2020-04-24,1.0682716349009118,1.0705265921289104,0.9976296014315706,1.1512594095854065,174.78776235054647,158.95582487314206,220.8449942785352,52.0,83.0,Puebla,2020-08-17
2020-04-25,1.0606957974012126,1.0613971700878153,0.9826728642056123,1.135186309538149,177.37244280249826,162.80068440409903,178.3748030711246,42.0,77.0,Puebla,2020-08-17
2020-04-26,1.0520108091747224,1.0467647916369058,0.9758313078648762,1.1204788319303887,179.71984671804663,166.42994308934826,176.01635202747906,43.0,94.0,Puebla,2020-08-17
2020-04-27,1.0458276096881705,1.0435300792365538,0.9766894324701186,1.1165195643918138,181.85421946562553,169.83065396741065,195.82550127974102,57.0,112.0,Puebla,2020-08-17
2020-04-28,1.0373210566433806,1.0338983098313927,0.9713765015028774,1.1123890188037409,183.74432010016014,172.99783316077696,127.41057362223187,30.0,85.0,Puebla,2020-08-17
2020-04-29,1.0316718518759098,1.0295893121112045,0.9577931127176507,1.0964318554856747,185.39487977755445,175.92751967880693,169.8807648296425,40.0,70.0,Puebla,2020-08-17
2020-04-30,1.025554284656168,1.0222517520420058,0.9597000566611539,1.098854647272555,186.80151559563166,178.61712858333496,155.5493343498652,38.0,94.0,Puebla,2020-08-17
2020-05-01,1.020733123709031,1.0202724217767236,0.9478077803378678,1.0859824015589,187.9760912066043,181.0645396098992,203.90047696604015,62.0,117.0,Puebla,2020-08-17
2020-05-02,1.0152272106754494,1.0171170064751167,0.9304303413385331,1.069245423504437,188.9454355142232,183.26927398759574,169.8807648296425,40.0,83.0,Puebla,2020-08-17
2020-05-03,1.009191954147517,1.0128285971707875,0.9416636251474159,1.0774418016326361,189.72879552156763,185.23444546080566,178.3748030711246,42.0,88.0,Puebla,2020-08-17
2020-05-04,1.0028932214193362,1.0027339352318438,0.9361189745180728,1.071166908491297,190.32821635236007,186.9665821482918,213.43261871936687,71.0,128.0,Puebla,2020-08-17
2020-05-05,0.9989622011462664,1.0006722769310414,0.9355699899099856,1.066842302383072,190.71933137482432,188.47341679892864,193.9290858989267,63.0,125.0,Puebla,2020-08-17
2020-05-06,0.9959848677837908,0.9961620279213004,0.9249603282791693,1.0603534310337464,190.88404791292407,189.75996470045447,203.70702300307426,72.0,136.0,Puebla,2020-08-17
2020-05-07,0.9932440271208753,0.9954913634371134,0.9243251272412681,1.0559152382201187,190.86065209529346,190.82754544849016,151.0157798965443,73.0,186.0,Puebla,2020-08-17
2020-05-08,0.9906753839262106,0.9887634605737572,0.917493259947826,1.0603704040010629,190.71168506636812,191.67953827744924,173.25169728359194,86.0,191.0,Puebla,2020-08-17
2020-05-09,0.9897817494575485,0.9876705285899032,0.918925570776626,1.05942297526505,190.464786293574,192.32651549510288,218.04196165884613,85.0,150.0,Puebla,2020-08-17
2020-05-10,0.9887019102233218,0.987493251303335,0.916518281039017,1.0573536872116411,190.12695299708253,192.78434435370323,210.2867072085999,94.0,172.0,Puebla,2020-08-17
2020-05-11,0.9883110705347257,0.9852539369799718,0.9158094467323775,1.0560393893731275,189.72529453091536,193.0704441990096,206.7980253100225,122.0,227.0,Puebla,2020-08-17
2020-05-12,0.9900445038282828,0.9909367234144493,0.9154680367854899,1.0533694773837505,189.28516480668276,193.20394445947392,206.1900903251933,127.0,237.0,Puebla,2020-08-17
2020-05-13,0.9921541387916167,0.990594388003952,0.9208210462241975,1.0612275675207958,188.82356539801356,193.2054420657293,194.03432485478012,118.0,234.0,Puebla,2020-08-17
2020-05-14,0.9958386669788923,0.9949873443933264,0.9236894123873136,1.0608914275577725,188.3895918628039,193.095979106112,199.38596493937268,114.0,220.0,Puebla,2020-08-17
2020-05-15,0.9986454640736969,0.9967363053509242,0.9209087487478163,1.060930177499075,188.0327697374202,192.89974190774163,198.54644508699639,129.0,250.0,Puebla,2020-08-17
2020-05-16,1.0026616309385548,1.0017068307425718,0.9368086952447473,1.0678459647819585,187.7903049491754,192.64500390468814,192.38996616957013,88.0,176.0,Puebla,2020-08-17
2020-05-17,1.0053551688768403,1.0060003683911902,0.938537386867363,1.0718198732647901,187.67134287923025,192.36298106883658,192.38996616957013,120.0,240.0,Puebla,2020-08-17
2020-05-18,1.0105177314270168,1.0128879148067738,0.9413033320201093,1.0784378296227097,187.68328251548047,192.08410404343942,180.56711908652392,168.0,358.0,Puebla,2020-08-17
2020-05-19,1.012535352732411,1.0100946919509362,0.9380646970326856,1.079088599369926,187.82063798001343,191.83604532725766,177.59073800268013,120.0,260.0,Puebla,2020-08-17
2020-05-20,1.0175737438572208,1.0158890591685048,0.9587791727189923,1.095267258981196,188.10062241980307,191.64178962668828,184.2893360150619,182.0,380.0,Puebla,2020-08-17
2020-05-21,1.0210248251304692,1.021158731882954,0.9525153500652189,1.0902732666451465,188.5075579915591,191.52152943746304,171.984969757646,118.0,264.0,Puebla,2020-08-17
2020-05-22,1.0247814604413095,1.0232056607724007,0.951706963739302,1.0916226872634762,189.0481763337377,191.49045609415856,178.68697712615344,163.0,351.0,Puebla,2020-08-17
2020-05-23,1.0279721444392518,1.0265881889645514,0.9503374204670044,1.0896635081813268,189.73754221055773,191.56054458881601,193.68117399621156,150.0,298.0,Puebla,2020-08-17
2020-05-24,1.0332466709111792,1.032246828105119,0.9655295582640954,1.1058710663654405,190.56319557446335,191.74263089549697,189.23603229793784,120.0,244.0,Puebla,2020-08-17
2020-05-25,1.0343239924728609,1.0310870197735038,0.9653685266870689,1.1046346090538668,191.5181308637163,192.04467430009257,178.7866352282874,184.0,396.0,Puebla,2020-08-17
2020-05-26,1.0355093611727966,1.033077647381278,0.9707488047047225,1.114677549588424,192.62842881688084,192.47173600358255,200.94063133266215,141.0,270.0,Puebla,2020-08-17
2020-05-27,1.0379999134680002,1.0381593041316206,0.9713235098250474,1.1128807725224235,193.85574600444508,193.02964064906774,163.58907303041292,142.0,334.0,Puebla,2020-08-17
2020-05-28,1.040501140196796,1.038180367091773,0.976128131493864,1.1249658828443456,195.13802674983117,193.7199870195738,196.41907540872344,195.0,382.0,Puebla,2020-08-17
2020-05-29,1.0403416427479326,1.0377448244078713,0.957399168246976,1.102538468993057,196.4883738969556,194.5357642962613,209.26627899146226,155.0,285.0,Puebla,2020-08-17
2020-05-30,1.0420038050844962,1.0427256557376636,0.9639274753740704,1.1086086520768643,197.93393525710493,195.46795504178152,198.4782562382274,163.0,316.0,Puebla,2020-08-17
2020-05-31,1.0404031599693824,1.0408679941956547,0.9624000793722268,1.105298557095581,199.43627218766596,196.51035224699655,206.18396374399214,142.0,265.0,Puebla,2020-08-17
2020-06-01,1.037399073339373,1.0365333169969535,0.9660840506260445,1.113425742890489,200.97717412731487,197.65475099637243,180.21994139168348,348.0,743.0,Puebla,2020-08-17
2020-06-02,1.0369788984836195,1.0380877070660839,0.9565038852711473,1.102600718751292,202.518844154446,198.89091530806655,167.8390424124324,188.0,431.0,Puebla,2020-08-17
2020-06-03,1.0332162956066262,1.0321339471852653,0.9609529801550276,1.1038566422477014,203.98719508106836,200.2047198914667,175.07018819323415,187.0,411.0,Puebla,2020-08-17
2020-06-04,1.0280559841355024,1.0286778818178726,0.9531744360504276,1.0891843973354338,205.39114511966218,201.573919601271,177.6594119152875,199.0,431.0,Puebla,2020-08-17
2020-06-05,1.0231323395165302,1.0246240822833625,0.9544876096094868,1.0999142071860337,206.71199889081947,202.97558938261741,193.55596596453722,249.0,495.0,Puebla,2020-08-17
2020-06-06,1.0144362436293515,1.0112261965237532,0.9426451777749177,1.0816720867679792,207.8730419921235,204.38695125864575,220.96273342247656,232.0,404.0,Puebla,2020-08-17
2020-06-07,1.0075405401133823,1.007906177558318,0.940090552822305,1.0797839908393734,208.83183796837963,205.77966207107974,228.3560429312405,200.0,337.0,Puebla,2020-08-17
2020-06-08,1.0009556953288177,1.0007351102518727,0.9278099779449162,1.0636100181652641,209.5153766077791,207.12120311135322,200.87276891073282,296.0,567.0,Puebla,2020-08-17
2020-06-09,0.9956664862229795,0.997056615044309,0.9219335111723096,1.0568938664779337,209.88787270555667,208.37279919545833,192.38996616957013,239.0,478.0,Puebla,2020-08-17
2020-06-10,0.9903685129573452,0.9887736004015809,0.9201415236873631,1.0510381301544605,209.9839789591034,209.4929742243286,226.3705316228968,453.0,770.0,Puebla,2020-08-17
2020-06-11,0.9850929463767796,0.9865364090910753,0.9153138544931337,1.051727107512928,209.8457044921267,210.44679484311848,219.42643799380704,280.0,491.0,Puebla,2020-08-17
2020-06-12,0.9820362844483068,0.9799922874609466,0.9138234200742812,1.0512839938326708,209.49324114758403,211.21038070352344,245.18871628377545,339.0,532.0,Puebla,2020-08-17
2020-06-13,0.97763315114148,0.9761234427085526,0.9034593273508343,1.0357025326045601,208.9282687329171,211.7696488727103,257.15022505220185,272.0,407.0,Puebla,2020-08-17
2020-06-14,0.9737894231803859,0.972855655887988,0.9103213578567414,1.0349431287111508,208.1933199092851,212.11672432603888,250.24807335503988,266.0,409.0,Puebla,2020-08-17
2020-06-15,0.9721880886958618,0.9690974687290305,0.9120834474457165,1.0421863566220637,207.30873903343962,212.25179493899884,227.2496160030473,515.0,872.0,Puebla,2020-08-17
2020-06-16,0.9719087417419005,0.9697976068395435,0.9062162539766198,1.0377247436319543,206.2730891636216,212.18101644673777,216.78612560359267,351.0,623.0,Puebla,2020-08-17
2020-06-17,0.9736632472423102,0.9704182600422149,0.9078472479923625,1.0382655380001913,205.13768344587953,211.9126062811823,220.21010384378494,281.0,491.0,Puebla,2020-08-17
2020-06-18,0.9750881175836481,0.9739594879262636,0.9000548434347468,1.0353595105657705,203.9773841534785,211.46013518972424,227.5580245016421,385.0,651.0,Puebla,2020-08-17
2020-06-19,0.977092235065588,0.9767925925805343,0.9069343230467107,1.0403311208844122,202.86211856506029,210.84608123067534,227.74962710088042,409.0,691.0,Puebla,2020-08-17
2020-06-20,0.9805917471479393,0.9817304634070341,0.9068180811390725,1.0404081848323412,201.8245671742763,210.10218914173686,197.0616872023853,464.0,906.0,Puebla,2020-08-17
2020-06-21,0.9867858266012219,0.9855078200685911,0.9179152080132545,1.0511995632582916,200.8687498405775,209.26472647708871,220.5562391323608,231.0,403.0,Puebla,2020-08-17
2020-06-22,0.9916107070928084,0.989065937834666,0.9270085968440117,1.0651810582926176,200.02848652110288,208.36881600789147,203.77398783640862,358.0,676.0,Puebla,2020-08-17
2020-06-23,0.9958523599254291,0.9926405175255562,0.9277152237137485,1.0703303472077745,199.382207842801,207.4489930788518,205.12165510726226,290.0,544.0,Puebla,2020-08-17
2020-06-24,1.0004210453425304,1.0002259504451985,0.9267158454885834,1.0746326939700248,198.95539852590022,206.5440695957803,187.3978113587829,244.0,501.0,Puebla,2020-08-17
2020-06-25,1.00447970807394,1.004162661877087,0.9285604880511086,1.071678863942268,198.71050023723524,205.69364471199097,196.19428753450515,361.0,708.0,Puebla,2020-08-17
2020-06-26,1.0102097153049392,1.0083135953135645,0.9299073922931477,1.0761177970803044,198.63102650488827,204.9298268204847,177.98190702911774,315.0,681.0,Puebla,2020-08-17
2020-06-27,1.01825273248587,1.0170391527666869,0.9457725246399564,1.0931842069597733,198.71767973882316,204.27614497214228,204.5153842054674,253.0,476.0,Puebla,2020-08-17
2020-06-28,1.0210974209985266,1.0178462811055464,0.9514868900895144,1.0925095970589953,198.99922249361683,203.74981576309906,208.88053469839042,266.0,490.0,Puebla,2020-08-17
2020-06-29,1.0226210285231019,1.0210871248317586,0.9518977569582437,1.0877317095888954,199.54480850811478,203.36632225771834,179.3666453827069,303.0,650.0,Puebla,2020-08-17
2020-06-30,1.0254413990304005,1.0226668911029853,0.9522652910237905,1.0891899018654432,200.30119452810115,203.14590154113293,173.5067404715611,317.0,703.0,Puebla,2020-08-17
2020-07-01,1.0277438559589673,1.0261838216089576,0.951827979605291,1.0890395287574721,201.14937165604186,203.10348613626917,191.50337646371958,432.0,868.0,Puebla,2020-08-17
2020-07-02,1.0288357591395951,1.024293808705914,0.9569828458244707,1.102314192512138,202.06876715417312,203.23758191531076,186.08209842630552,295.0,610.0,Puebla,2020-08-17
2020-07-03,1.0271427962630837,1.0250489374621738,0.9479885460996451,1.094797847505566,203.07704950566864,203.53689590243854,181.4286517905573,240.0,509.0,Puebla,2020-08-17
2020-07-04,1.0264219218446966,1.0244667933864209,0.9540190776906602,1.0968765816010295,204.15099909021436,203.98849579402113,207.48696552694082,268.0,497.0,Puebla,2020-08-17
2020-07-05,1.0254104522539873,1.0264860434609098,0.9524219538945641,1.0978223158046732,205.21281569381338,204.57766656402657,246.9373128996398,335.0,522.0,Puebla,2020-08-17
